customer_id,tenure_months,monthly_charges,total_charges,contract,internet_service,tech_support,senior_citizen,partner,dependents,payment_method,churn
C10000,15.0,84.8,1166.43,One year,Fiber,No,0,Yes,Yes,Mailed check,1
C10001,4.0,28.23,119.75,Month-to-month,Fiber,Yes,1,No,Yes,Credit card,0
C10002,20.0,74.18,1306.54,Month-to-month,Fiber,Yes,0,Yes,No,Electronic check,0
C10003,49.0,83.33,4240.5,Two year,Fiber,Yes,0,No,No,Electronic check,0
C10004,13.0,44.95,642.98,Month-to-month,Fiber,No,0,No,Yes,Mailed check,0
C10005,32.0,77.64,2849.43,One year,Fiber,No,1,No,Yes,Electronic check,0
C10006,52.0,63.09,3716.33,Two year,DSL,No,0,No,No,Bank transfer,0
C10007,69.0,62.35,4815.59,Month-to-month,DSL,No,0,Yes,Yes,Electronic check,0
C10008,21.0,71.84,1311.14,Month-to-month,None,No,1,No,Yes,Electronic check,0
C10009,69.0,65.24,4285.45,Month-to-month,,Yes,0,No,No,Mailed check,0
C10010,14.0,79.46,1158.8,One year,DSL,No,0,No,No,Electronic check,0
C10011,63.0,122.09,,Two year,DSL,Yes,1,No,Yes,Credit card,0
C10012,69.0,66.3,4540.9,Month-to-month,DSL,No,0,Yes,No,Mailed check,0
C10013,52.0,101.2,5164.81,Month-to-month,DSL,Yes,0,No,Yes,Mailed check,1
C10014,8.0,72.16,639.59,Month-to-month,DSL,No,0,Yes,No,Credit card,1
C10015,61.0,70.74,3793.53,Month-to-month,Fiber,No,0,No,No,Electronic check,1
C10016,44.0,68.76,2745.48,Month-to-month,DSL,Yes,0,No,Yes,Electronic check,1
C10017,70.0,98.91,7809.19,Two year,DSL,No,0,Yes,Yes,Credit card,1
C10018,50.0,60.83,3000.2,Month-to-month,None,No,0,No,Yes,Bank transfer,1
C10019,8.0,37.54,322.64,Month-to-month,Fiber,No,1,Yes,No,Electronic check,0
C10020,9.0,33.99,,Month-to-month,None,Yes,0,No,No,Bank transfer,0
C10021,27.0,54.51,1368.21,Month-to-month,Fiber,No,1,No,Yes,Electronic check,1
C10022,28.0,51.68,1381.55,Month-to-month,DSL,Yes,0,No,No,Electronic check,0
C10023,71.0,53.74,4317.7,Month-to-month,DSL,Yes,0,Yes,No,Bank transfer,0
C10024,34.0,46.0,1755.45,Month-to-month,Fiber,No,0,Yes,Yes,Bank transfer,1
C10025,57.0,39.97,1943.08,Month-to-month,None,No,0,No,No,Mailed check,0
C10026,6.0,45.84,299.47,Two year,None,Yes,0,Yes,No,Credit card,0
C10027,20.0,81.41,1463.41,One year,DSL,No,0,No,No,Credit card,0
C10028,32.0,60.36,1704.52,Two year,None,Yes,1,Yes,No,Mailed check,0
C10029,25.0,48.77,1061.75,One year,Fiber,No,0,No,No,Electronic check,1
C10030,34.0,92.8,2933.26,Month-to-month,Fiber,No,0,No,No,Credit card,0
C10031,25.0,63.83,1357.3,Two year,Fiber,No,0,No,No,Electronic check,0
C10032,43.0,38.61,1473.37,Two year,Fiber,No,0,No,No,Mailed check,0
C10033,49.0,41.2,2088.6,Month-to-month,Fiber,Yes,0,Yes,No,Bank transfer,0
C10034,57.0,51.53,3195.77,Two year,Fiber,No,0,No,No,Electronic check,0
C10035,31.0,56.68,1598.61,Month-to-month,DSL,No,1,Yes,No,Mailed check,0
